央视,#genre#
CCTV1,http://192.168.0.50:35453/bst/cctv1hd@4000000.m3u8
CCTV1,http://192.168.0.50:35453/mgtv/608807420.m3u8
CCTV2,http://192.168.0.50:35453/bst/cctv2hd8m@8000000.m3u8
CCTV2,http://192.168.0.50:35453/mgtv/631780532.m3u8
CCTV3,http://192.168.0.50:35453/bst/cctv3hd@4000000.m3u8
CCTV3,http://192.168.0.50:35453/bst/cctv3hdhai@4000000.m3u8
CCTV3,http://192.168.0.50:35453/mgtv/624878271.m3u8
CCTV4,http://192.168.0.50:35453/bst/cctv4hd4m@4000000.m3u8
CCTV4,http://192.168.0.50:35453/mgtv/631780421.m3u8
CCTV5,http://192.168.0.50:35453/bst/cctv5hd@4000000.m3u8
CCTV5,http://192.168.0.50:35453/bst/cctv5hdhai@4000000.m3u8
CCTV5,http://192.168.0.50:35453/mgtv/641886683.m3u8
CCTV5+,http://192.168.0.50:35453/bst/cctv5phd@4000000.m3u8
CCTV5+,http://192.168.0.50:35453/mgtv/641886773.m3u8
CCTV6,http://192.168.0.50:35453/bst/cctv6hd@4000000.m3u8
CCTV6,http://192.168.0.50:35453/bst/cctv6@1300000.m3u8
CCTV6,http://192.168.0.50:35453/mgtv/624878396.m3u8
CCTV7,http://192.168.0.50:35453/bst/cctv7hd4m@4000000.m3u8
CCTV7,http://192.168.0.50:35453/mgtv/673168121.m3u8
CCTV8,http://192.168.0.50:35453/bst/cctv8hd@4000000.m3u8
CCTV8,http://192.168.0.50:35453/bst/cctv8@1300000.m3u8
CCTV8,http://192.168.0.50:35453/mgtv/624878356.m3u8
CCTV9,http://192.168.0.50:35453/bst/cctv9hd4mc@4000000.m3u8
CCTV9,http://192.168.0.50:35453/mgtv/673168140.m3u8
CCTV10,http://192.168.0.50:35453/bst/cctv10hd@4000000.m3u8
CCTV10,http://192.168.0.50:35453/mgtv/624878405.m3u8
CCTV11,http://192.168.0.50:35453/bst/cctv11hd4m@4000000.m3u8
CCTV11,http://192.168.0.50:35453/mgtv/667987558.m3u8
CCTV12,http://192.168.0.50:35453/bst/cctv12hd4m@4000000.m3u8
CCTV12,http://192.168.0.50:35453/mgtv/673168185.m3u8
CCTV13,http://192.168.0.50:35453/bst/cctv13hd4m@4000000.m3u8
CCTV13,http://192.168.0.50:35453/mgtv/608807423.m3u8
CCTV14,http://192.168.0.50:35453/bst/cctvsehd@4000000.m3u8
CCTV14,http://192.168.0.50:35453/mgtv/624878440.m3u8
CCTV15,http://192.168.0.50:35453/bst/cctvyyhd4m@4000000.m3u8
CCTV15,http://192.168.0.50:35453/mgtv/673168223.m3u8
CCTV16,http://192.168.0.50:35453/bst/cctv16hd4k@15000000.m3u8
